asset_id,type,inventory,usage_rate,service_days,temperature,repairs,location,status
TRUCK001,TRUCK,148,48,160,48,3,BASE_CHARLIE,ACTIVE
FORKLIFT002,FORKLIFT,83,14,209,69,4,BASE_CHARLIE,MAINTENANCE
TRUCK003,TRUCK,39,68,42,39,0,BASE_CHARLIE,MAINTENANCE
TRAILER004,TRAILER,84,59,223,72,7,BASE_DELTA,MAINTENANCE
RADIO005,RADIO,390,83,300,62,6,BASE_DELTA,STANDBY
RADIO006,RADIO,379,100,142,48,5,BASE_DELTA,STANDBY
VEHICLE007,VEHICLE,61,15,170,77,4,BASE_CHARLIE,STANDBY
FORKLIFT008,FORKLIFT,61,56,223,47,7,BASE_CHARLIE,ACTIVE
GENERATOR009,GENERATOR,51,63,156,54,3,BASE_CHARLIE,STANDBY
TRUCK010,TRUCK,93,41,155,51,6,BASE_ALPHA,STANDBY
TRUCK011,TRUCK,50,53,139,50,1,BASE_DELTA,ACTIVE
MEDEVAC012,MEDEVAC,114,25,130,52,1,BASE_CHARLIE,ACTIVE
VEHICLE013,VEHICLE,129,18,275,60,6,BASE_CHARLIE,ACTIVE
GENERATOR014,GENERATOR,106,61,31,59,0,BASE_CHARLIE,ACTIVE
DRONE015,DRONE,483,26,31,39,2,BASE_ALPHA,STANDBY
TRUCK016,TRUCK,11,84,232,70,6,BASE_DELTA,STANDBY
RADIO017,RADIO,308,96,201,66,5,BASE_CHARLIE,ACTIVE
GENERATOR018,GENERATOR,97,36,93,36,1,BASE_BRAVO,ACTIVE
TRAILER019,TRAILER,98,44,271,77,6,BASE_ALPHA,MAINTENANCE
TRAILER020,TRAILER,8,34,14,66,3,BASE_DELTA,ACTIVE
TRUCK021,TRUCK,17,33,46,47,0,BASE_ALPHA,STANDBY
RADIO022,RADIO,349,36,219,60,5,BASE_CHARLIE,ACTIVE
GENERATOR023,GENERATOR,101,92,118,50,1,BASE_BRAVO,MAINTENANCE
RADIO024,RADIO,370,33,14,54,1,BASE_CHARLIE,ACTIVE
MEDEVAC025,MEDEVAC,88,46,86,51,1,BASE_ALPHA,ACTIVE
RADIO026,RADIO,196,65,43,63,3,BASE_CHARLIE,MAINTENANCE
TRUCK027,TRUCK,107,30,298,79,8,BASE_DELTA,ACTIVE
TRAILER028,TRAILER,148,76,57,53,3,BASE_ALPHA,ACTIVE
DRONE029,DRONE,231,71,225,72,3,BASE_ALPHA,ACTIVE
TRUCK030,TRUCK,5,95,141,68,1,BASE_CHARLIE,STANDBY
DRONE031,DRONE,465,79,230,50,5,BASE_BRAVO,ACTIVE
GENERATOR032,GENERATOR,11,28,155,38,4,BASE_BRAVO,ACTIVE
FORKLIFT033,FORKLIFT,121,57,110,65,1,BASE_BRAVO,ACTIVE
VEHICLE034,VEHICLE,11,61,184,57,2,BASE_ALPHA,MAINTENANCE
TRAILER035,TRAILER,29,68,244,68,4,BASE_ALPHA,ACTIVE
FORKLIFT036,FORKLIFT,94,90,118,56,5,BASE_BRAVO,MAINTENANCE
TRUCK037,TRUCK,14,56,211,49,5,BASE_BRAVO,STANDBY
RADIO038,RADIO,346,29,150,58,2,BASE_CHARLIE,ACTIVE
RADIO039,RADIO,346,34,297,81,7,BASE_BRAVO,ACTIVE
VEHICLE040,VEHICLE,83,53,28,58,2,BASE_BRAVO,ACTIVE
MEDEVAC041,MEDEVAC,10,57,194,38,3,BASE_BRAVO,ACTIVE
TRUCK042,TRUCK,40,33,127,54,4,BASE_DELTA,ACTIVE
VEHICLE043,VEHICLE,150,25,148,64,3,BASE_BRAVO,ACTIVE
GENERATOR044,GENERATOR,61,92,149,54,1,BASE_ALPHA,ACTIVE
DRONE045,DRONE,437,43,260,62,6,BASE_DELTA,STANDBY
RADIO046,RADIO,319,89,187,52,6,BASE_ALPHA,STANDBY
TRUCK047,TRUCK,93,54,277,74,8,BASE_DELTA,MAINTENANCE
RADIO048,RADIO,263,76,206,51,4,BASE_ALPHA,STANDBY
GENERATOR049,GENERATOR,76,87,14,48,2,BASE_ALPHA,STANDBY
MEDEVAC050,MEDEVAC,106,12,293,62,8,BASE_CHARLIE,STANDBY
DRONE051,DRONE,188,72,165,59,5,BASE_ALPHA,ACTIVE
FORKLIFT052,FORKLIFT,123,47,287,49,4,BASE_CHARLIE,ACTIVE
DRONE053,DRONE,60,95,193,78,5,BASE_DELTA,STANDBY
VEHICLE054,VEHICLE,28,31,229,51,4,BASE_CHARLIE,ACTIVE
VEHICLE055,VEHICLE,122,79,200,51,3,BASE_CHARLIE,STANDBY
MEDEVAC056,MEDEVAC,14,33,247,70,5,BASE_BRAVO,STANDBY
RADIO057,RADIO,162,98,90,47,2,BASE_CHARLIE,STANDBY
FORKLIFT058,FORKLIFT,114,47,110,74,4,BASE_BRAVO,ACTIVE
DRONE059,DRONE,180,31,298,62,8,BASE_ALPHA,ACTIVE
FORKLIFT060,FORKLIFT,127,70,116,56,4,BASE_ALPHA,ACTIVE
DRONE061,DRONE,300,47,63,58,1,BASE_DELTA,ACTIVE
MEDEVAC062,MEDEVAC,144,84,84,69,3,BASE_BRAVO,STANDBY
MEDEVAC063,MEDEVAC,14,23,154,45,6,BASE_DELTA,ACTIVE
RADIO064,RADIO,88,8,300,72,7,BASE_DELTA,ACTIVE
TRUCK065,TRUCK,67,46,49,64,0,BASE_CHARLIE,ACTIVE
FORKLIFT066,FORKLIFT,52,18,99,59,4,BASE_CHARLIE,STANDBY
VEHICLE067,VEHICLE,68,50,176,67,3,BASE_CHARLIE,MAINTENANCE
FORKLIFT068,FORKLIFT,125,87,87,56,1,BASE_CHARLIE,ACTIVE
VEHICLE069,VEHICLE,55,89,298,75,8,BASE_DELTA,ACTIVE
DRONE070,DRONE,164,55,61,49,1,BASE_DELTA,ACTIVE
TRUCK071,TRUCK,124,33,207,74,6,BASE_CHARLIE,ACTIVE
TRUCK072,TRUCK,93,94,262,46,8,BASE_DELTA,MAINTENANCE
TRAILER073,TRAILER,148,17,297,47,5,BASE_DELTA,ACTIVE
RADIO074,RADIO,483,75,229,44,6,BASE_BRAVO,ACTIVE
TRAILER075,TRAILER,43,70,265,70,6,BASE_BRAVO,ACTIVE
MEDEVAC076,MEDEVAC,41,98,56,41,4,BASE_ALPHA,MAINTENANCE
MEDEVAC077,MEDEVAC,148,35,217,37,3,BASE_CHARLIE,ACTIVE
TRUCK078,TRUCK,65,35,146,59,3,BASE_DELTA,MAINTENANCE
MEDEVAC079,MEDEVAC,127,35,254,61,4,BASE_DELTA,MAINTENANCE
DRONE080,DRONE,386,93,231,45,3,BASE_BRAVO,ACTIVE
FORKLIFT081,FORKLIFT,25,70,42,62,0,BASE_CHARLIE,STANDBY
VEHICLE082,VEHICLE,131,51,265,68,4,BASE_ALPHA,ACTIVE
DRONE083,DRONE,319,33,231,69,5,BASE_DELTA,STANDBY
DRONE084,DRONE,363,82,135,49,2,BASE_DELTA,ACTIVE
TRUCK085,TRUCK,81,98,14,71,1,BASE_DELTA,STANDBY
RADIO086,RADIO,128,16,19,63,3,BASE_ALPHA,ACTIVE
VEHICLE087,VEHICLE,87,37,53,76,3,BASE_DELTA,ACTIVE
TRAILER088,TRAILER,67,18,240,56,7,BASE_BRAVO,ACTIVE
TRAILER089,TRAILER,101,94,147,35,1,BASE_BRAVO,MAINTENANCE
GENERATOR090,GENERATOR,18,45,34,46,3,BASE_DELTA,ACTIVE
TRAILER091,TRAILER,117,12,177,41,5,BASE_ALPHA,MAINTENANCE
GENERATOR092,GENERATOR,104,50,16,43,2,BASE_DELTA,ACTIVE
DRONE093,DRONE,420,15,127,80,5,BASE_CHARLIE,ACTIVE
GENERATOR094,GENERATOR,146,49,14,62,0,BASE_ALPHA,ACTIVE
TRAILER095,TRAILER,93,51,215,64,4,BASE_CHARLIE,STANDBY
MEDEVAC096,MEDEVAC,20,14,221,63,6,BASE_DELTA,MAINTENANCE
MEDEVAC097,MEDEVAC,9,22,285,72,4,BASE_DELTA,ACTIVE
MEDEVAC098,MEDEVAC,117,37,45,33,0,BASE_CHARLIE,ACTIVE
FORKLIFT099,FORKLIFT,73,28,28,34,0,BASE_ALPHA,ACTIVE
GENERATOR100,GENERATOR,144,84,34,42,3,BASE_CHARLIE,MAINTENANCE
RADIO101,RADIO,371,7,273,73,7,BASE_CHARLIE,ACTIVE
TRAILER102,TRAILER,60,74,140,68,3,BASE_ALPHA,STANDBY
DRONE103,DRONE,291,77,117,63,1,BASE_DELTA,STANDBY
TRAILER104,TRAILER,96,45,166,75,3,BASE_CHARLIE,ACTIVE
FORKLIFT105,FORKLIFT,53,31,202,76,5,BASE_CHARLIE,ACTIVE
DRONE106,DRONE,292,90,125,69,3,BASE_CHARLIE,ACTIVE
VEHICLE107,VEHICLE,111,75,258,77,7,BASE_DELTA,ACTIVE
FORKLIFT108,FORKLIFT,103,92,270,55,7,BASE_ALPHA,STANDBY
DRONE109,DRONE,227,24,250,76,8,BASE_ALPHA,MAINTENANCE
FORKLIFT110,FORKLIFT,34,40,160,78,6,BASE_ALPHA,ACTIVE
VEHICLE111,VEHICLE,41,92,278,80,8,BASE_DELTA,ACTIVE
MEDEVAC112,MEDEVAC,139,76,242,55,6,BASE_DELTA,STANDBY
RADIO113,RADIO,429,75,207,73,4,BASE_CHARLIE,STANDBY
VEHICLE114,VEHICLE,146,55,184,54,2,BASE_DELTA,ACTIVE
GENERATOR115,GENERATOR,110,55,210,67,7,BASE_ALPHA,ACTIVE
MEDEVAC116,MEDEVAC,70,43,289,49,7,BASE_CHARLIE,STANDBY
GENERATOR117,GENERATOR,108,48,22,65,3,BASE_DELTA,STANDBY
FORKLIFT118,FORKLIFT,117,22,133,74,3,BASE_ALPHA,MAINTENANCE
DRONE119,DRONE,425,86,248,62,4,BASE_DELTA,MAINTENANCE
MEDEVAC120,MEDEVAC,121,17,248,40,5,BASE_DELTA,ACTIVE
VEHICLE121,VEHICLE,73,58,92,53,2,BASE_CHARLIE,STANDBY
DRONE122,DRONE,52,65,154,66,4,BASE_CHARLIE,ACTIVE
MEDEVAC123,MEDEVAC,31,64,67,46,3,BASE_BRAVO,MAINTENANCE
DRONE124,DRONE,441,58,137,54,5,BASE_CHARLIE,ACTIVE
FORKLIFT125,FORKLIFT,38,94,265,56,4,BASE_BRAVO,ACTIVE
DRONE126,DRONE,346,72,97,77,4,BASE_DELTA,ACTIVE
MEDEVAC127,MEDEVAC,113,19,131,60,1,BASE_ALPHA,ACTIVE
VEHICLE128,VEHICLE,21,79,151,67,5,BASE_CHARLIE,MAINTENANCE
TRUCK129,TRUCK,144,65,239,58,6,BASE_DELTA,STANDBY
RADIO130,RADIO,85,45,291,51,5,BASE_ALPHA,MAINTENANCE
TRUCK131,TRUCK,63,36,257,45,4,BASE_ALPHA,MAINTENANCE
DRONE132,DRONE,56,86,248,80,6,BASE_BRAVO,ACTIVE
DRONE133,DRONE,358,15,22,56,0,BASE_CHARLIE,ACTIVE
GENERATOR134,GENERATOR,52,75,91,68,2,BASE_BRAVO,ACTIVE
MEDEVAC135,MEDEVAC,29,98,187,43,2,BASE_BRAVO,ACTIVE
GENERATOR136,GENERATOR,124,53,103,75,5,BASE_CHARLIE,ACTIVE
TRUCK137,TRUCK,86,38,98,46,4,BASE_DELTA,ACTIVE
